Date,Open,High,Low,Close
09/08/2021,"0.321%","0.314%","0.337%","0.323%"
09/07/2021,"0.364%","0.312%","0.366%","0.321%"
09/06/2021,"0.357%","0.346%","0.371%","0.364%"
09/03/2021,"0.383%","0.345%","0.393%","0.357%"
09/02/2021,"0.370%","0.370%","0.394%","0.383%"
09/01/2021,"0.381%","0.351%","0.385%","0.370%"
08/31/2021,"0.417%","0.374%","0.439%","0.381%"
08/30/2021,"0.420%","0.406%","0.425%","0.417%"
08/27/2021,"0.406%","0.396%","0.422%","0.420%"
08/26/2021,"0.420%","0.397%","0.427%","0.406%"
08/25/2021,"0.474%","0.412%","0.476%","0.420%"
08/24/2021,"0.477%","0.461%","0.487%","0.474%"
08/23/2021,"0.494%","0.454%","0.494%","0.477%"
08/20/2021,"0.487%","0.484%","0.497%","0.494%"
08/19/2021,"0.480%","0.472%","0.497%","0.487%"
08/18/2021,"0.468%","0.468%","0.488%","0.480%"
08/17/2021,"0.465%","0.462%","0.495%","0.468%"
08/16/2021,"0.464%","0.450%","0.486%","0.465%"
08/13/2021,"0.458%","0.437%","0.468%","0.464%"
08/12/2021,"0.459%","0.442%","0.464%","0.458%"
08/11/2021,"0.454%","0.432%","0.462%","0.459%"
08/10/2021,"0.457%","0.444%","0.479%","0.454%"
08/09/2021,"0.452%","0.448%","0.475%","0.457%"
08/06/2021,"0.498%","0.447%","0.498%","0.452%"
08/05/2021,"0.495%","0.488%","0.520%","0.498%"
08/04/2021,"0.479%","0.473%","0.516%","0.495%"
08/03/2021,"0.485%","0.462%","0.488%","0.479%"
08/02/2021,"0.459%","0.440%","0.486%","0.485%"
07/30/2021,"0.447%","0.436%","0.461%","0.459%"
07/29/2021,"0.448%","0.422%","0.461%","0.447%"
07/28/2021,"0.439%","0.434%","0.453%","0.448%"
07/27/2021,"0.414%","0.414%","0.443%","0.439%"
07/26/2021,"0.417%","0.395%","0.446%","0.414%"
07/23/2021,"0.423%","0.394%","0.424%","0.417%"
07/22/2021,"0.392%","0.376%","0.425%","0.423%"
07/21/2021,"0.407%","0.385%","0.427%","0.392%"
07/20/2021,"0.383%","0.383%","0.438%","0.407%"
07/19/2021,"0.350%","0.348%","0.401%","0.383%"
07/16/2021,"0.332%","0.330%","0.352%","0.350%"
07/15/2021,"0.318%","0.317%","0.340%","0.332%"
07/14/2021,"0.293%","0.272%","0.319%","0.318%"
07/13/2021,"0.292%","0.285%","0.313%","0.293%"
07/12/2021,"0.289%","0.287%","0.312%","0.292%"
07/09/2021,"0.306%","0.283%","0.313%","0.289%"
07/08/2021,"0.294%","0.293%","0.341%","0.306%"
07/07/2021,"0.266%","0.256%","0.311%","0.294%"
07/06/2021,"0.207%","0.195%","0.270%","0.266%"
07/05/2021,"0.234%","0.205%","0.234%","0.207%"
07/02/2021,"0.197%","0.196%","0.239%","0.234%"
07/01/2021,"0.204%","0.177%","0.208%","0.197%"
06/30/2021,"0.167%","0.164%","0.209%","0.204%"
06/29/2021,"0.188%","0.158%","0.188%","0.167%"
06/28/2021,"0.151%","0.151%","0.189%","0.188%"
06/25/2021,"0.186%","0.147%","0.186%","0.151%"
06/24/2021,"0.173%","0.157%","0.191%","0.186%"
06/23/2021,"0.161%","0.152%","0.194%","0.173%"
06/22/2021,"0.169%","0.143%","0.177%","0.161%"
06/21/2021,"0.199%","0.159%","0.212%","0.169%"
06/18/2021,"0.242%","0.185%","0.242%","0.199%"
06/17/2021,"0.247%","0.195%","0.248%","0.242%"
06/16/2021,"0.230%","0.228%","0.248%","0.247%"
06/15/2021,"0.247%","0.225%","0.261%","0.230%"
06/14/2021,"0.270%","0.246%","0.277%","0.247%"
06/11/2021,"0.253%","0.251%","0.285%","0.270%"
06/10/2021,"0.241%","0.208%","0.253%","0.253%"
06/09/2021,"0.220%","0.216%","0.265%","0.241%"
06/08/2021,"0.195%","0.194%","0.231%","0.220%"
06/07/2021,"0.210%","0.191%","0.210%","0.195%"
06/04/2021,"0.181%","0.175%","0.215%","0.210%"
06/03/2021,"0.196%","0.171%","0.196%","0.181%"
06/02/2021,"0.178%","0.178%","0.198%","0.196%"
06/01/2021,"0.165%","0.160%","0.193%","0.178%"
05/31/2021,"0.180%","0.146%","0.180%","0.165%"
05/28/2021,"0.168%","0.149%","0.188%","0.180%"
05/27/2021,"0.203%","0.161%","0.209%","0.168%"
05/26/2021,"0.164%","0.164%","0.209%","0.203%"
05/25/2021,"0.137%","0.134%","0.166%","0.164%"
05/24/2021,"0.127%","0.118%","0.144%","0.137%"
05/21/2021,"0.106%","0.100%","0.137%","0.127%"
05/20/2021,"0.107%","0.082%","0.108%","0.106%"
05/19/2021,"0.100%","0.071%","0.124%","0.107%"
05/18/2021,"0.112%","0.097%","0.128%","0.100%"
05/17/2021,"0.126%","0.097%","0.144%","0.112%"
05/14/2021,"0.118%","0.106%","0.134%","0.126%"
05/13/2021,"0.120%","0.094%","0.127%","0.118%"
05/12/2021,"0.158%","0.117%","0.174%","0.120%"
05/11/2021,"0.208%","0.151%","0.208%","0.158%"
05/10/2021,"0.212%","0.190%","0.215%","0.208%"
05/07/2021,"0.220%","0.206%","0.255%","0.212%"
05/06/2021,"0.225%","0.208%","0.248%","0.220%"
05/05/2021,"0.236%","0.207%","0.236%","0.225%"
05/04/2021,"0.200%","0.187%","0.248%","0.236%"
05/03/2021,"0.201%","0.159%","0.218%","0.200%"
04/30/2021,"0.190%","0.189%","0.209%","0.201%"
04/29/2021,"0.226%","0.174%","0.230%","0.190%"
04/28/2021,"0.245%","0.200%","0.246%","0.226%"
04/27/2021,"0.250%","0.242%","0.259%","0.245%"
04/26/2021,"0.255%","0.228%","0.261%","0.250%"
04/23/2021,"0.251%","0.243%","0.274%","0.255%"
04/22/2021,"0.260%","0.236%","0.285%","0.251%"
04/21/2021,"0.258%","0.241%","0.275%","0.260%"
04/20/2021,"0.234%","0.213%","0.262%","0.258%"
04/19/2021,"0.260%","0.214%","0.273%","0.234%"
04/16/2021,"0.290%","0.257%","0.290%","0.260%"
04/15/2021,"0.256%","0.252%","0.294%","0.290%"
04/14/2021,"0.289%","0.254%","0.309%","0.256%"
04/13/2021,"0.291%","0.268%","0.299%","0.289%"
04/12/2021,"0.299%","0.286%","0.327%","0.291%"
04/09/2021,"0.333%","0.280%","0.333%","0.299%"
04/08/2021,"0.319%","0.316%","0.344%","0.333%"
04/07/2021,"0.313%","0.311%","0.341%","0.319%"
04/06/2021,"0.325%","0.291%","0.326%","0.313%"
04/04/2021,"0.325%","0.325%","0.325%","0.325%"
04/01/2021,"0.290%","0.283%","0.329%","0.325%"
03/31/2021,"0.282%","0.263%","0.299%","0.290%"
03/30/2021,"0.315%","0.254%","0.315%","0.282%"
03/29/2021,"0.344%","0.312%","0.364%","0.315%"
03/26/2021,"0.381%","0.334%","0.381%","0.344%"
03/25/2021,"0.350%","0.350%","0.384%","0.381%"
03/24/2021,"0.337%","0.336%","0.371%","0.350%"
03/23/2021,"0.306%","0.306%","0.354%","0.337%"
03/22/2021,"0.290%","0.290%","0.328%","0.306%"
03/19/2021,"0.260%","0.260%","0.306%","0.290%"
03/18/2021,"0.288%","0.248%","0.291%","0.260%"
03/17/2021,"0.333%","0.282%","0.336%","0.288%"
03/16/2021,"0.332%","0.326%","0.350%","0.333%"
03/15/2021,"0.301%","0.296%","0.342%","0.332%"
03/12/2021,"0.333%","0.290%","0.333%","0.301%"
03/11/2021,"0.313%","0.310%","0.365%","0.333%"
03/10/2021,"0.299%","0.292%","0.318%","0.313%"
03/09/2021,"0.273%","0.273%","0.331%","0.299%"
03/08/2021,"0.301%","0.267%","0.301%","0.273%"
03/05/2021,"0.308%","0.272%","0.310%","0.301%"
03/04/2021,"0.286%","0.283%","0.326%","0.308%"
03/03/2021,"0.349%","0.280%","0.356%","0.286%"
03/02/2021,"0.333%","0.306%","0.350%","0.349%"
03/01/2021,"0.259%","0.259%","0.343%","0.333%"
02/26/2021,"0.229%","0.200%","0.283%","0.259%"
02/25/2021,"0.299%","0.214%","0.299%","0.229%"
02/24/2021,"0.314%","0.271%","0.330%","0.299%"
02/23/2021,"0.336%","0.283%","0.336%","0.314%"
02/22/2021,"0.305%","0.276%","0.358%","0.336%"
02/19/2021,"0.343%","0.304%","0.343%","0.305%"
02/18/2021,"0.369%","0.321%","0.369%","0.343%"
02/17/2021,"0.343%","0.327%","0.370%","0.369%"
02/16/2021,"0.381%","0.340%","0.393%","0.343%"
02/15/2021,"0.425%","0.374%","0.426%","0.381%"
02/12/2021,"0.456%","0.417%","0.464%","0.425%"
02/11/2021,"0.435%","0.435%","0.471%","0.456%"
02/10/2021,"0.444%","0.427%","0.455%","0.435%"
02/09/2021,"0.440%","0.426%","0.454%","0.444%"
02/08/2021,"0.446%","0.409%","0.447%","0.440%"
02/05/2021,"0.451%","0.409%","0.464%","0.446%"
02/04/2021,"0.463%","0.440%","0.471%","0.451%"
02/03/2021,"0.487%","0.460%","0.489%","0.463%"
02/02/2021,"0.513%","0.476%","0.513%","0.487%"
02/01/2021,"0.515%","0.495%","0.522%","0.513%"
01/29/2021,"0.537%","0.491%","0.537%","0.515%"
01/28/2021,"0.544%","0.533%","0.558%","0.537%"
01/27/2021,"0.529%","0.522%","0.565%","0.544%"
01/26/2021,"0.548%","0.523%","0.555%","0.529%"
01/25/2021,"0.510%","0.507%","0.551%","0.548%"
01/22/2021,"0.494%","0.486%","0.516%","0.510%"
01/21/2021,"0.526%","0.484%","0.534%","0.494%"
01/20/2021,"0.524%","0.517%","0.531%","0.526%"
01/19/2021,"0.524%","0.507%","0.528%","0.524%"
01/18/2021,"0.540%","0.517%","0.550%","0.524%"
01/15/2021,"0.546%","0.531%","0.557%","0.540%"
01/14/2021,"0.518%","0.518%","0.561%","0.546%"
01/13/2021,"0.465%","0.464%","0.523%","0.518%"
01/12/2021,"0.494%","0.459%","0.494%","0.465%"
01/11/2021,"0.518%","0.489%","0.532%","0.494%"
01/08/2021,"0.552%","0.512%","0.552%","0.518%"
01/07/2021,"0.552%","0.538%","0.572%","0.552%"
01/06/2021,"0.571%","0.533%","0.576%","0.552%"
01/05/2021,"0.605%","0.570%","0.605%","0.571%"
01/04/2021,"0.571%","0.563%","0.614%","0.605%"
